letterNumber,receivedDate,letterDate,subject,sender,recipient,processor,letterNature,processingMethod,note,isInvitation,eventDate,needsFollowUp,dispositionTarget
001/SM/I/2025,02/01/2025,01/01/2025,"Permohonan Data Kependudukan Tahun 2024","BPS Kabupaten Klaten","Kepala Dinas","Staf Pemanfaatan Data",BIASA,MANUAL,"Untuk ditindaklanjuti",FALSE,,TRUE,PERENCANAAN
002/SM/I/2025,05/01/2025,03/01/2025,"Undangan Rapat Koordinasi SIAK Terpusat","Ditjen Dukcapil Kemendagri","Kepala Dinas","Sekretaris Dinas",TERBATAS,SRIKANDI,"Mohon dihadiri",TRUE,15/01/2025,FALSE,KABID
003/SM/I/2025,08/01/2025,05/01/2025,"Laporan Bulanan Kepegawaian Desember 2024","Subbag Umum & Kepegawaian","Sekretaris Dinas","Staf Umum",BIASA,MANUAL,"Untuk diarsipkan",FALSE,,FALSE,UMPEG
004/SM/I/2025,10/01/2025,08/01/2025,"Pengajuan Permohonan Cuti Tahunan","Ahmad Zulkifli (Pegawai)","Subbag Umum & Kepegawaian","Staf Kepegawaian",BIASA,MANUAL,,FALSE,,FALSE,KAUR_KEUANGAN
005/SM/I/2025,12/01/2025,10/01/2025,"Permohonan Verifikasi Ijazah","Universitas Sebelas Maret","Kepala Dinas","Staf Umum",TERBATAS,MANUAL,"Segera verifikasi",FALSE,,TRUE,BIDANG1
006/SM/I/2025,15/01/2025,12/01/2025,"Penawaran Kerjasama Sistem Informasi","PT. Digital Nusantara","Kepala Dinas","Kabid TIK",BIASA,MANUAL,,FALSE,,FALSE,BIDANG2
007/SM/I/2025,18/01/2025,15/01/2025,"Pemberitahuan Pemeliharaan Server","PT. Telkom Indonesia","Kabid TIK","Pranata Komputer",BIASA,SRIKANDI,"Info untuk tim IT",FALSE,,FALSE,BIDANG2
008/SM/I/2025,20/01/2025,18/01/2025,"Permohonan Praktik Kerja Lapangan","SMK Negeri 2 Klaten","Kepala Dinas","Staf Umum",BIASA,MANUAL,,FALSE,,FALSE,UMPEG
009/SM/I/2025,22/01/2025,20/01/2025,"Surat Edaran Hari Libur Nasional","KemenPAN-RB","Semua Pegawai","Staf Kepegawaian",BIASA,MANUAL,"Ditempel di papan pengumuman",FALSE,,FALSE,UMPEG
010/SM/I/2025,25/01/2025,23/01/2025,"Klarifikasi Data Ganda Penduduk","Warga (Budi Santoso)","Kabid Pemanfaatan Data","Analis Data",TERBATAS,MANUAL,"Perlu investigasi segera",FALSE,,TRUE,PERENCANAAN
011/SM/II/2025,01/02/2025,30/01/2025,"Undangan Sosialisasi Inovasi Pelayanan","Diskominfo Klaten","Kepala Dinas","Sekretaris Dinas",BIASA,SRIKANDI,"Untuk dijadwalkan",TRUE,10/02/2025,FALSE,KABID
012/SM/II/2025,05/02/2025,03/02/2025,"Laporan Keuangan Bulanan Januari","Bendahara","Kepala Dinas","Staf Keuangan",RAHASIA,MANUAL,"Hanya untuk pimpinan",FALSE,,FALSE,KAUR_KEUANGAN
013/SM/II/2025,08/02/2025,06/02/2025,"Permintaan Narasumber Sosialisasi","Kecamatan Ceper","Kabid PIAK","Staf Bidang",BIASA,MANUAL,,FALSE,,TRUE,BIDANG3
014/SM/II/2025,10/02/2025,08/02/2025,"Pengantar Dokumen Audit","Inspektorat Daerah","Sekretaris Dinas","Staf Umum",TERBATAS,SRIKANDI,"Dokumen terlampir",FALSE,,FALSE,UMPEG
015/SM/II/2025,12/02/2025,10/02/2025,"Undangan Workshop Aplikasi Pelayanan","Kemendagri","Kepala Dinas","Kabid TIK",BIASA,SRIKANDI,"Wajib hadir",TRUE,20/02/2025,FALSE,BIDANG2
016/SM/II/2025,15/02/2025,12/02/2025,"Permohonan Data Agregat Kependudukan","Badan Pusat Statistik","Kabid Pemanfaatan Data","Analis Data",TERBATAS,MANUAL,"Siapkan data yang diminta",FALSE,,TRUE,PERENCANAAN
017/SM/II/2025,18/02/2025,15/02/2025,"Undangan Rapat Evaluasi Kinerja","Sekretariat Daerah","Semua Kabid","Sekretaris Dinas",BIASA,SRIKANDI,"Wajib Hadir",TRUE,25/02/2025,FALSE,KABID
018/SM/II/2025,20/02/2025,18/02/2025,"Tagihan Internet Bulan Januari","PT. Telkom Indonesia","Subbag Keuangan","Bendahara",BIASA,MANUAL,"Mohon dibayarkan",FALSE,,TRUE,KAUR_KEUANGAN
019/SM/II/2025,22/02/2025,20/02/2025,"Permohonan Peminjaman Ruang Rapat","Dharma Wanita Persatuan","Subbag Umum & Kepegawaian","Staf Umum",BIASA,MANUAL,,FALSE,,FALSE,UMPEG
020/SM/III/2025,01/03/2025,28/02/2025,"Pemberitahuan Audit Internal Q1","Inspektorat Daerah","Kepala Dinas","Sekretaris Dinas",RAHASIA,SRIKANDI,"Siapkan dokumen pendukung",FALSE,,TRUE,KABID
021/SM/III/2025,05/03/2025,03/03/2025,"Pengaduan Pelayanan Publik","Warga (Siti Aminah)","Kepala Dinas","Staf PIAK",TERBATAS,MANUAL,"Segera direspons dan ditindaklanjuti",FALSE,,TRUE,BIDANG3
